Object Kind	X1	Y1	Orientation	Name	Show Name	Pin Designator	Show Designator	Row	Column	Index
Pin	0mil	2000mil	180 Degrees	pin	false	E20	true	E	20	219	
Pin	0mil	2100mil	180 Degrees	pin	false	E21	true	E	21	220	
Pin	0mil	2200mil	180 Degrees	pin	false	E22	true	E	22	221	
Pin	0mil	2300mil	180 Degrees	pin	false	E23	true	E	23	222	
Pin	0mil	2400mil	180 Degrees	pin	false	E24	true	E	24	223	
Pin	0mil	2500mil	180 Degrees	pin	false	E25	true	E	25	224	
Pin	0mil	2600mil	180 Degrees	pin	false	E26	true	E	26	225	
Pin	0mil	2700mil	180 Degrees	pin	false	E27	true	E	27	226	
Pin	0mil	2800mil	180 Degrees	pin	false	E28	true	E	28	227	
Pin	0mil	2900mil	180 Degrees	pin	false	E29	true	E	29	228	
Pin	0mil	3000mil	180 Degrees	pin	false	E30	true	E	30	229	
Pin	0mil	3100mil	180 Degrees	pin	false	E31	true	E	31	230	
Pin	0mil	3200mil	180 Degrees	pin	false	E32	true	E	32	231	
Pin	0mil	3300mil	180 Degrees	pin	false	E33	true	E	33	232	
Pin	0mil	3400mil	180 Degrees	pin	false	E34	true	E	34	233	
Pin	0mil	3500mil	180 Degrees	pin	false	E35	true	E	35	234	
Pin	0mil	3600mil	180 Degrees	pin	false	E36	true	E	36	235	
Pin	0mil	3700mil	180 Degrees	pin	false	E37	true	E	37	236	
Pin	0mil	3800mil	180 Degrees	pin	false	E38	true	E	38	237	
Pin	0mil	3900mil	180 Degrees	pin	false	E39	true	E	39	238	
Pin	0mil	4000mil	180 Degrees	pin	false	E40	true	E	40	239	
Pin	0mil	4100mil	180 Degrees	pin	false	E41	true	E	41	240	
Pin	0mil	4200mil	180 Degrees	pin	false	E42	true	E	42	241	
Pin	0mil	4300mil	180 Degrees	pin	false	E43	true	E	43	242	
Pin	0mil	4400mil	180 Degrees	pin	false	E44	true	E	44	243	
Pin	0mil	4500mil	180 Degrees	pin	false	E45	true	E	45	244	
Pin	0mil	4600mil	180 Degrees	pin	false	E46	true	E	46	245	
Pin	0mil	4700mil	180 Degrees	pin	false	E47	true	E	47	246	
Pin	0mil	4800mil	180 Degrees	pin	false	E48	true	E	48	247	
Pin	0mil	4900mil	180 Degrees	pin	false	E49	true	E	49	248	
Pin	0mil	5000mil	180 Degrees	pin	false	E50	true	E	50	249	
Pin	0mil	100mil	180 Degrees	pin	false	F1	true	F	1	250	
Pin	0mil	200mil	180 Degrees	pin	false	F2	true	F	2	251	
Pin	0mil	300mil	180 Degrees	pin	false	F3	true	F	3	252	
Pin	0mil	400mil	180 Degrees	pin	false	F4	true	F	4	253	
Pin	0mil	500mil	180 Degrees	pin	false	F5	true	F	5	254	
Pin	0mil	600mil	180 Degrees	pin	false	F6	true	F	6	255	
Pin	0mil	700mil	180 Degrees	pin	false	F7	true	F	7	256	
Pin	0mil	800mil	180 Degrees	pin	false	F8	true	F	8	257	
Pin	0mil	900mil	180 Degrees	pin	false	F9	true	F	9	258	
Pin	0mil	1000mil	180 Degrees	pin	false	F10	true	F	10	259	
Pin	0mil	1100mil	180 Degrees	pin	false	F11	true	F	11	260	
Pin	0mil	1200mil	180 Degrees	pin	false	F12	true	F	12	261	
Pin	0mil	1300mil	180 Degrees	pin	false	F13	true	F	13	262	
Pin	0mil	1400mil	180 Degrees	pin	false	F14	true	F	14	263	
Pin	0mil	1500mil	180 Degrees	pin	false	F15	true	F	15	264	
Pin	0mil	1600mil	180 Degrees	pin	false	F16	true	F	16	265	
Pin	0mil	1700mil	180 Degrees	pin	false	F17	true	F	17	266	
Pin	0mil	1800mil	180 Degrees	pin	false	F18	true	F	18	267	
Pin	0mil	1900mil	180 Degrees	pin	false	F19	true	F	19	268	
Pin	0mil	2000mil	180 Degrees	pin	false	F20	true	F	20	269	
Pin	0mil	2100mil	180 Degrees	pin	false	F21	true	F	21	270	
Pin	0mil	2200mil	180 Degrees	pin	false	F22	true	F	22	271	
Pin	0mil	2300mil	180 Degrees	pin	false	F23	true	F	23	272	
Pin	0mil	2400mil	180 Degrees	pin	false	F24	true	F	24	273	
Pin	0mil	2500mil	180 Degrees	pin	false	F25	true	F	25	274	
Pin	0mil	2600mil	180 Degrees	pin	false	F26	true	F	26	275	
Pin	0mil	2700mil	180 Degrees	pin	false	F27	true	F	27	276	
Pin	0mil	2800mil	180 Degrees	pin	false	F28	true	F	28	277	
Pin	0mil	2900mil	180 Degrees	pin	false	F29	true	F	29	278	
Pin	0mil	3000mil	180 Degrees	pin	false	F30	true	F	30	279	
Pin	0mil	3100mil	180 Degrees	pin	false	F31	true	F	31	280	
Pin	0mil	3200mil	180 Degrees	pin	false	F32	true	F	32	281	
Pin	0mil	3300mil	180 Degrees	pin	false	F33	true	F	33	282	
Pin	0mil	3400mil	180 Degrees	pin	false	F34	true	F	34	283	
Pin	0mil	3500mil	180 Degrees	pin	false	F35	true	F	35	284	
Pin	0mil	3600mil	180 Degrees	pin	false	F36	true	F	36	285	
Pin	0mil	3700mil	180 Degrees	pin	false	F37	true	F	37	286	
Pin	0mil	3800mil	180 Degrees	pin	false	F38	true	F	38	287	
Pin	0mil	3900mil	180 Degrees	pin	false	F39	true	F	39	288	
Pin	0mil	4000mil	180 Degrees	pin	false	F40	true	F	40	289	
Pin	0mil	4100mil	180 Degrees	pin	false	F41	true	F	41	290	
Pin	0mil	4200mil	180 Degrees	pin	false	F42	true	F	42	291	
Pin	0mil	4300mil	180 Degrees	pin	false	F43	true	F	43	292	
Pin	0mil	4400mil	180 Degrees	pin	false	F44	true	F	44	293	
Pin	0mil	4500mil	180 Degrees	pin	false	F45	true	F	45	294	
Pin	0mil	4600mil	180 Degrees	pin	false	F46	true	F	46	295	
Pin	0mil	4700mil	180 Degrees	pin	false	F47	true	F	47	296	
Pin	0mil	4800mil	180 Degrees	pin	false	F48	true	F	48	297	
